Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,Temperature,Heart Rate
52,"9/10/20, 5:01:13 PM",17 ft,0:00:01,12 mph,868 ft,304° true,N42° 16.235' W83° 43.635',87.8 °F,82
53,"9/10/20, 5:01:14 PM",43 ft,0:00:02,15 mph,868 ft,286° true,N42° 16.237' W83° 43.638',87.8 °F,80
54,"9/10/20, 5:01:16 PM",91 ft,0:00:03,21 mph,867 ft,274° true,N42° 16.239' W83° 43.647',87.8 °F,82
55,"9/10/20, 5:01:19 PM",32 ft,0:00:01,22 mph,867 ft,267° true,N42° 16.239' W83° 43.667',87.8 °F,82
56,"9/10/20, 5:01:20 PM",99 ft,0:00:03,22 mph,866 ft,265° true,N42° 16.239' W83° 43.675',87.8 °F,83
57,"9/10/20, 5:01:23 PM",45 ft,0:00:02,15 mph,864 ft,268° true,N42° 16.238' W83° 43.696',87.8 °F,81
58,"9/10/20, 5:01:25 PM",22 ft,0:00:02,8 mph,863 ft,255° true,N42° 16.237' W83° 43.706',87.8 °F,78
59,"9/10/20, 5:01:27 PM",4 ft,0:00:01,2.9 mph,862 ft,257° true,N42° 16.236' W83° 43.711',87.8 °F,75
60,"9/10/20, 5:01:28 PM",38 ft,0:00:03,9 mph,862 ft,271° true,N42° 16.236' W83° 43.712',87.8 °F,75
61,"9/10/20, 5:01:31 PM",76 ft,0:00:03,17 mph,862 ft,266° true,N42° 16.236' W83° 43.721',87.8 °F,74
62,"9/10/20, 5:01:34 PM",29 ft,0:00:01,20 mph,861 ft,269° true,N42° 16.236' W83° 43.737',87.8 °F,79
63,"9/10/20, 5:01:35 PM",140 ft,0:00:05,19 mph,860 ft,267° true,N42° 16.235' W83° 43.744',87.8 °F,82
64,"9/10/20, 5:01:40 PM",19 ft,0:00:02,6 mph,858 ft,261° true,N42° 16.234' W83° 43.775',87.8 °F,84
65,"9/10/20, 5:01:42 PM",3 ft,0:00:01,1.9 mph,858 ft,253° true,N42° 16.234' W83° 43.779',87.8 °F,83
66,"9/10/20, 5:01:43 PM",44 ft,0:00:04,7 mph,856 ft,255° true,N42° 16.234' W83° 43.780',87.8 °F,83
67,"9/10/20, 5:01:47 PM",42 ft,0:00:02,14 mph,856 ft,248° true,N42° 16.232' W83° 43.789',87.8 °F,84
